dataset,diagnostic_level,parameter,map_value,profile_min_value,ci_low,ci_high,profile_verdict,interpretability_flag,map_inside_ci,n_optimizer_failures,fim_condition_raw,caveat
dataset_I,publication,k_supply,0.02803952665256306,0.0062564640724725624,,0.00775161256915193,one-sided,one-sided,False,1,6776620346870217.0,Profile likelihood constrains the parameter from only one side; avoid using it as a standalone biological endpoint.
dataset_I,publication,c_tot,178.40212183057739,799.5428395332183,538.0963695612068,,one-sided,one-sided,False,6,6776620346870217.0,Profile likelihood constrains the parameter from only one side; avoid using it as a standalone biological endpoint.
dataset_I,publication,V_max,0.25898939483672684,0.6102873863750468,0.4925737803168352,0.7561317894933756,identifiable,interpretable,False,7,6776620346870217.0,Profile likelihood is bounded on both sides. Interpret only within the OCR-only model scope.
dataset_I,publication,K_o,0.17013005777132983,0.7624700204497524,,,non-identifiable,flat,,4,6776620346870217.0,Profile likelihood is flat or unbounded over the explored range; OCR-only data do not support direct interpretation.
dataset_I,publication,K_r,3.3940678210675985,15.211156657664786,8.48871121710804,,one-sided,one-sided,False,3,6776620346870217.0,Profile likelihood constrains the parameter from only one side; avoid using it as a standalone biological endpoint.
dataset_I,publication,gamma_oligo,0.43989575589497376,0.4364828259034929,0.36979462338608,0.5151974778978641,identifiable,interpretable,True,5,6776620346870217.0,Profile likelihood is bounded on both sides. Interpret only within the OCR-only model scope.
dataset_I,publication,tau_kappa,8.214419413249168,5.351193640731845,1.832884719204658,10.177473415405299,identifiable,interpretable,True,5,6776620346870217.0,Profile likelihood is bounded on both sides. Interpret only within the OCR-only model scope.
dataset_I,publication,r0,40.09644307539652,8.946725764795627,,13.73378777548829,one-sided,one-sided,False,2,6776620346870217.0,Profile likelihood constrains the parameter from only one side; avoid using it as a standalone biological endpoint.
dataset_I,publication,alpha_1,0.34158693240103494,,,,not_profiled,weak,,,6776620346870217.0,Only local FIM information is available for this parameter in this run. Treat as weak until profile likelihood is run.
